id,stat_id,when_recorded,humidity,temperature,pressure
91075,1,"2019-02-28 18:02:04",75.35,20.47,0.0
91076,1,"2019-02-28 18:12:34",73.95,21.0,899.92
91077,1,"2019-02-28 18:23:04",73.44,21.31,899.88
91078,1,"2019-02-28 18:33:34",78.17,20.24,900.14
91079,1,"2019-02-28 18:44:04",83.81,19.17,900.13
91080,1,"2019-02-28 18:54:34",86.77,18.38,900.02
91081,1,"2019-02-28 19:05:04",87.95,18.34,900.12
91082,1,"2019-02-28 19:15:34",88.8,18.23,900.14
91083,1,"2019-02-28 19:15:34",88.8,18.23,900.14
91084,1,"2019-02-28 19:26:04",89.11,18.29,900.4
91085,1,"2019-02-28 19:36:34",89.57,18.23,900.36
91086,1,"2019-02-28 19:47:04",89.64,18.02,900.59
91087,1,"2019-02-28 19:57:34",90.07,18.04,900.78
91088,1,"2019-02-28 20:08:04",90.05,18.03,900.84
91089,1,"2019-02-28 20:18:34",90.59,18.04,900.92
91090,1,"2019-02-28 20:29:04",90.62,18.11,901.06
91091,1,"2019-02-28 20:39:34",90.52,17.91,900.93
91092,1,"2019-02-28 20:50:04",91.31,17.83,901.15
91093,1,"2019-02-28 21:00:34",91.76,17.86,901.1
91094,1,"2019-02-28 21:11:04",91.77,17.87,901.18
91095,1,"2019-02-28 21:21:35",92.1,17.88,901.15
91096,1,"2019-02-28 21:32:05",91.98,17.88,901.22
91097,1,"2019-02-28 21:42:35",92.05,17.87,901.31
91098,1,"2019-02-28 21:53:05",91.94,17.84,901.29
91099,1,"2019-02-28 22:03:35",91.95,17.77,901.35
91100,1,"2019-02-28 22:14:05",92.24,17.75,901.4
91101,1,"2019-02-28 22:24:35",92.01,17.77,901.35
91102,1,"2019-02-28 22:35:05",92.36,17.82,901.41
91103,1,"2019-02-28 22:45:35",92.43,17.86,901.39
91104,1,"2019-02-28 22:56:05",92.51,17.89,901.42
91105,1,"2019-02-28 23:06:35",92.31,17.87,901.35
91106,1,"2019-02-28 23:17:05",92.36,17.78,901.31
91107,1,"2019-02-28 23:27:35",92.43,17.71,901.33
91108,1,"2019-02-28 23:38:05",92.25,17.68,901.22
91109,1,"2019-02-28 23:48:35",92.18,17.67,901.12
91110,1,"2019-02-28 23:58:52",92.28,17.7,901.03
91111,1,"2019-03-01 00:09:20",92.5,17.68,900.98
91112,1,"2019-03-01 00:19:50",92.17,17.69,900.8
91113,1,"2019-03-01 00:30:20",92.43,17.54,900.68
91114,1,"2019-03-01 00:40:50",93.17,17.51,900.54
91115,1,"2019-03-01 00:51:20",93.17,17.48,900.61
91116,1,"2019-03-01 01:01:50",93.52,17.41,900.36
91117,1,"2019-03-01 01:12:20",93.6,17.48,900.33
91118,1,"2019-03-01 01:22:51",93.43,17.53,900.2
91119,1,"2019-03-01 01:22:51",93.43,17.53,900.2
91120,1,"2019-03-01 01:33:21",93.48,17.49,900.19
91121,1,"2019-03-01 01:43:51",93.4,17.39,900.1
91122,1,"2019-03-01 01:54:21",93.66,17.38,899.93
91123,1,"2019-03-01 02:04:51",93.47,17.42,899.82
91124,1,"2019-03-01 02:15:21",93.69,17.4,899.98
91125,1,"2019-03-01 02:25:51",93.68,17.46,899.84
91126,1,"2019-03-01 02:36:21",93.26,17.42,899.72
91127,1,"2019-03-01 02:46:51",93.37,17.34,899.6
91128,1,"2019-03-01 02:57:21",93.5,17.32,899.55
91129,1,"2019-03-01 03:07:51",93.57,17.36,899.43
91130,1,"2019-03-01 03:18:21",93.58,17.4,899.36
91131,1,"2019-03-01 03:28:51",93.68,17.4,899.27
91132,1,"2019-03-01 03:39:21",93.7,17.46,899.07
91133,1,"2019-03-01 03:49:51",93.62,17.51,899.08
91134,1,"2019-03-01 04:00:21",93.6,17.34,898.96
91135,1,"2019-03-01 04:10:51",94.11,17.28,898.95
91136,1,"2019-03-01 04:21:21",93.96,17.43,898.83
91137,1,"2019-03-01 04:31:51",93.88,17.48,899.17
91138,1,"2019-03-01 04:42:21",93.91,17.45,899.16
91139,1,"2019-03-01 04:52:51",93.78,17.43,899.17
91140,1,"2019-03-01 05:03:21",93.93,17.42,899.41
91141,1,"2019-03-01 05:13:51",93.67,17.3,899.52
91142,1,"2019-03-01 05:24:21",93.56,17.24,899.62
91143,1,"2019-03-01 05:34:51",93.58,17.14,899.94
91144,1,"2019-03-01 05:45:21",93.73,17.21,899.76
91145,1,"2019-03-01 05:55:38",93.62,17.27,899.68
91146,1,"2019-03-01 06:06:08",93.8,17.23,900.09
91147,1,"2019-03-01 06:16:38",93.57,17.26,900.14
91148,1,"2019-03-01 06:27:08",93.58,17.12,899.97
91149,1,"2019-03-01 06:37:38",93.63,17.17,900.03
91150,1,"2019-03-01 06:48:08",93.82,17.23,900.05
91151,1,"2019-03-01 06:58:39",93.46,17.4,899.98
91152,1,"2019-03-01 07:09:09",93.59,17.46,900.27
91153,1,"2019-03-01 07:19:39",93.16,17.68,900.43
